pathway,Level1,Level2,Level3
PWY-6467,Biosynthesis,Cell Structure Biosynthesis,Lipopolysaccharide Biosynthesis
NAGLIPASYN-PWY,Biosynthesis,Cell Structure Biosynthesis,Lipopolysaccharide Biosynthesis
PWY-1269,Biosynthesis,Carbohydrate Biosynthesis,Sugar Biosynthesis
PWY-7200,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,Pyrimidine Nucleotide Biosynthesis
PWY-7199,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,Pyrimidine Nucleotide Biosynthesis
SULFATE-CYS-PWY,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism ,Sulfur Compound Metabolism
SO4ASSIM-PWY,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism ,Sulfur Compound Metabolism
P221-PWY,Degradation/Utilization/Assimilation,Degradation/Utilization/Assimilation - Other,Degradation/Utilization/Assimilation - Other
HISDEG-PWY,Degradation/Utilization/Assimilation,Amino Acid Degradation,Proteinogenic Amino Acid Degradation
HEME-BIOSYNTHESIS-II,Biosynthesis,Cofactor  Prosthetic Group  Electron Carrier  and Vitamin Biosynthesis,Porphyrin Compound Biosynthesis
PWYG-321,Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis
OANTIGEN-PWY,Biosynthesis,Carbohydrate Biosynthesis,Sugar Biosynthesis
GLYCOLYSIS,Generation of Precursor Metabolite and Energy,Glycolysis,Glycolysis
PWY-4984,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism ,Nitrogen Compound Metabolism
PWY-7242,Degradation/Utilization/Assimilation,Secondary Metabolite Degradation,Sugar Derivative Degradation
PWY-5415,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,Catechol Degradation
PWY-5180,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,Toluene Degradation
PWY-5182,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,Toluene Degradation
PWY-5918,Biosynthesis,Cofactor  Prosthetic Group  Electron Carrier  and Vitamin Biosynthesis,Porphyrin Compound Biosynthesis
PWY-6708,Biosynthesis,Cofactor  Prosthetic Group  Electron Carrier  and Vitamin Biosynthesis,Quinol and Quinone Biosynthesis
PWY-5857,Biosynthesis,Cofactor  Prosthetic Group  Electron Carrier  and Vitamin Biosynthesis,Quinol and Quinone Biosynthesis
PWY-5856,Biosynthesis,Cofactor  Prosthetic Group  Electron Carrier  and Vitamin Biosynthesis,Quinol and Quinone Biosynthesis
PWY-5855,Biosynthesis,Cofactor  Prosthetic Group  Electron Carrier  and Vitamin Biosynthesis,Quinol and Quinone Biosynthesis
P105-PWY,Generation of Precursor Metabolite and Energy,TCA cycle,TCA cycle
TCA-GLYOX-BYPASS,Generation of Precursor Metabolite and Energy,TCA cycle,TCA cycle
PWY-7323,Biosynthesis,Carbohydrate Biosynthesis,Sugar Biosynthesis
GLYOXYLATE-BYPASS,Generation of Precursor Metabolite and Energy  , glyoxylate cycle, glyoxylate cycle
PWY-6703,Biosynthesis,Secondary Metabolite Biosynthesis,Secondary Metabolite Biosynthesis
PWY-5345,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis
PWY-6608,Degradation/Utilization/Assimilation,Nucleoside and Nucleotide Degradation,Purine Nucleotide Degradation
P161-PWY,Generation of Precursor Metabolite and Energy,Fermentation,Fermentation of Pyruvate
SALVADEHYPOX-PWY,Degradation/Utilization/Assimilation,Nucleoside and Nucleotide Degradation,Purine Nucleotide Degradation
PWY-5505,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis
LEU-DEG2-PWY,Degradation/Utilization/Assimilation,Amino Acid Degradation,Proteinogenic Amino Acid Degradation
GLUCONEO-PWY,Biosynthesis,Carbohydrate Biosynthesis,Sugar Biosynthesis
P125-PWY,Generation of Precursor Metabolite and Energy,Fermentation,Fermentation to Alcohols
GLYCOLYSIS-TCA-GLYOX-BYPASS,Generation of Precursor Metabolite and Energy  ,superpathway of glycolysis  pyruvate dehydrogenase  TCA  and glyoxylate bypass,superpathway of glycolysis  pyruvate dehydrogenase  TCA  and glyoxylate bypass
